Gun Crazy	1950	2008-12-10	Personal DVD
Paths of Glory	1957	2008-12-16	Personal DVD
Ratatouille	2007	2008-12-22	Netflix DVD
Star Wars: Episode V - The Empire Strikes Back	1980	2008-12-28	Personal DVD
Out of the Past	1947	2009-01-18	Personal DVD
The Set-Up	1949	2009-01-27	Personal DVD
Sicko	2007	2009-01-31	Netflix Streaming
A Scanner Darkly	2006	2009-02-03	Netflix Streaming
The Asphalt Jungle	1950	2009-02-21	Personal DVD
Evil Dead II	1987	2009-03-06	Netflix DVD
The Seven Year Itch	1955	2009-03-07	Netflix Streaming
Babel	2006	2009-05-08	Netflix DVD
Star Trek	2009	2009-05-15	Theater
Batman Begins	2005	2009-05-21	Netflix DVD
The Day the Earth Stood Still	2008	2009-05-25	Airplane
Tideland	2005	2009-05-29	Netflix DVD
The Killing	1956	2009-06-13	Netflix Streaming
Slumdog Millionaire	2008	2009-07-04	Netflix DVD
Double Indemnity	1944	2009-07-14	Netflix Streaming
Terminator 2	1991	2009-07-25	Netflix Streaming
Fear in the Night	1947	2009-08-01	Internet Archive
Timecrimes	2007	2009-08-08	Netflix Streaming
The Dark Knight	2008	2009-08-22	Netflix DVD
The Third Man	1949	2009-09-02	Netflix Streaming
American Gangster	2007	2009-09-06	Netflix DVD
The Big Lebowski	1998	2009-10-24	Netflix Streaming
Brazil	1985	2009-11-06	Netflix DVD
The Hitchhiker's Guide to the Galaxy	2005	2009-11-26	Personal DVD
Stranger Than Fiction	2006	2009-12-06	Netflix DVD
Harry Potter and the Half-Blood Prince	2009	2009-12-20	Personal DVD
Drag Me to Hell	2009	2009-12-29	Netflix DVD
Avatar	2009	2009-12-31	Theater
Yellow Submarine	1968	2010-01-28	Personal DVD
Food, Inc.	2008	2010-01-29	Netflix Streaming
Up	2009	2010-02-06	Netflix DVD
Beer Wars	2009	2010-02-20	Netflix Streaming
Iron Man	2008	2010-05-13	Borrowed DVD
Iron Man 2	2010	2010-05-15	Theater
Sneakers	1992	2010-07-17	Netflix Streaming
Moon	2009	2010-08-21	Netflix Streaming
Wal-Mart: The High Cost of Low Price	2005	2010-09-11	Netflix Streaming
No Direction Home: Bob Dylan	2005	2010-09-16	Personal DVD
Gimme Shelter	1970	2010-09-16	Personal DVD
The Men Who Stare at Goats	2009	2010-10-15	Netflix Streaming
Let It Be	1970	2010-11-16	Download
Top Secret!	1984	2010-12-17	Netflix Streaming
The Sting	1973	2010-12-21	Netflix Streaming
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	2010-12-29	Personal DVD
The Road	2009	2011-03-25	Netflix DVD
Stripes	1981	2011-04-01	Netflix Streaming
Shoot the Piano Player	1960	2011-05-06	Netflix Streaming
Syriana	2005	2011-06-03	Netflix Streaming
Femme Fatale	2002	2011-06-04	Netflix Streaming
The Muppet Movie	1979	2011-06-19	Netflix DVD
Harry Potter and the Sorcerer's Stone	2001	2011-07-18	Personal DVD
Cronos	1993	2011-07-23	Netflix Streaming
Anvil: The Story of Anvil	2008	2011-07-26	Netflix DVD
Harry Potter and the Deathly Hallows: Part 1	2010	2011-08-13	Personal DVD
Harry Potter and the Deathly Hallows: Part 2	2011	2011-08-24	Theater
Muppets from Space	1999	2011-08-27	Netflix Streaming
Dirty Harry	1971	2011-09-02	Netflix Streaming
Airplane II: The Sequel	1982	2011-09-09	Netflix Streaming
Tropic Thunder	2008	2011-09-24	Netflix DVD
The Andromeda Strain	1971	2011-10-21	Amazon
Up in the Air	2009	2011-11-03	HBO
The Blues Brothers	1980	2011-11-11	Netflix Streaming
The Muppets	2011	2011-11-26	Theater
True Grit	2010	2012-01-21	Netflix Streaming
The Naked City	1948	2012-02-04	Netflix Streaming
The African Queen (1951)	2017	2012-03-03	Netflix Streaming
Animal House	1978	2012-04-14	Netflix DVD
The Thin Man	1934	2012-04-27	Netflix DVD
Shutter Island	2010	2012-05-12	Netflix Streaming
Stalag 17	1953	2012-05-19	Netflix DVD
Duck Soup	1933	2012-05-26	Netflix Streaming
8½	1963	2012-05-28	Netflix Streaming
Prometheus	2012	2012-06-13	Theater
Witness for the Prosecution	1957	2012-06-22	Netflix Streaming
After the Thin Man	1936	2012-07-07	Netflix DVD
Reservoir Dogs	1992	2012-07-13	Personal DVD
Pulp Fiction	1994	2012-07-13	Personal DVD
Inglourious Basterds	2009	2012-07-21	Netflix DVD
The Greatest Movie Ever Sold	2011	2012-08-18	Netflix DVD
Sabrina	1954	2012-08-24	Netflix Streaming
Blade Runner	1982	2012-08-29	Netflix DVD
Desperado	1995	2012-09-08	Netflix DVD
True Romance	1993	2012-09-15	Netflix DVD
Twelve Monkeys	1995	2012-09-29	Netflix Streaming
Yojimbo	1961	2012-10-02	Hulu
The Big Combo	1955	2012-10-03	Netflix Streaming
