The Last Jedi                            : 2017 : 2017-12-22   : Theater             
The Last Jedi                            : 2017 : 2017-12-16   : Theater             
Sunset Boulevard                         : 1950 : 2017-12-10   : Netflix             
Key Largo                                : 1948 : 2017-12-08   : Amazon              
Airplane II - The Sequel                 : 1982 : 2017-11-22   : Amazon              
The Lego Ninjago Movie                   : 2017 : 2017-09-24   : Theater             
The Adventures of Priscilla, Queen of the Desert : 1994 : 2017-09-09   : Download            
The Last Woman on Earth                  : 1960 : 2017-09-01   : Amazon              
Jacob's Ladder                           : 1990 : 2017-07-23   : Download            
Back To School                           : 1986 : 2017-07-18   : Download            
Twilight Zone - The Movie                : 1983 : 2017-07-13   : Download            
Moon                                     : 2009 : 2016-06-19   : Amazon              
Help                                     : 1964 : 2017-06-07   : FilmStruck          
Monsters Vs. Aliens                      : 2009 : 2017-05-20   : HBO Go              
Twin Peaks - Fire Walk With Me           : 1992 : 2017-05-04   : Showtime            
Night On Earth                           : 1991 : 2017-04-30   : FilmStruck          
The Wages of Fear                        : 1963 : 2017-04-01   : FilmStruck          
Mad Max - Fury Road                      : 2015 : 2017-03-23   : HBO Go              
The Manchurian Candidate                 : 1962 : 2017-03-14   : Personal DVD        
An American Werewolf in London           : 1981 : 2017-03-10   : Netflix Streaming   
The Third Man                            : 1949 : 2017-03-05   : Netflix Streaming   
Dragnet                                  : 1987 : 2017-03-02   : HBO Go              
The Running Man                          : 1987 : 2017-02-26   : Amazon              
The Lego Batman Movie                    : 2017 : 2017-02-12   : Theater             
Life of Brian                            : 1979 : 2017-02-04   : Personal BlueRay    
Caddyshack                               : 1980 : 2017-01-21   : Netflix Streaming   
Death Race 2050                          : 2017 : 2017-01-19   : Netflix Streaming   
Death Race 2000                          : 1975 : 2017-01-18   : TubiTV              
The Grifters                             : 1991 : 2017-01-16   : FilmStruck          
Tank Girl                                : 1995 : 2017-01-11   : TubiTV              
Rouge One                                : 2016 : 2016-12-18   : Theater             
Naked Lunch                              : 1991 : 2016-11-24   : HBO Go              
... And God Created Woman                : 1956 : 2016-11-22   : FilmStruck          
Mad Max 2 - The Road Warrior             : 1981 : 2016-11-18   : Amazon              
Mad Max                                  : 1979 : 2016-11-16   : FilmStruck          
Army of Darkness                         : 1992 : 2016-11-12   : Crackle             
Pulp Fiction                             : 1994 : 2016-11-06   : Netflix Streaming   
The Peanuts Movie                        : 2015 : 2016-11-05   : HBO Go              
The Player                               : 1992 : 2016-11-02   : FilmStruck          
From Dusk Til Dawn                       : 1996 : 2016-10-29   : Netflix Streaming   
To Catch a Thief                         : 1955 : 2016-10-22   : Netflix Streaming   
